Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TimKiem_Voi_Nhieu_TestData_Khac_nhau,Chrome 120.0.0.0,,,2024-01-14 01:59:02,2024-01-14 02:05:15,6m - 12.294s,FAILED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 01:59:03,2024-01-14 01:59:17,13.933s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 01:59:03,2024-01-14 01:59:06,2.791s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 01:59:06,2024-01-14 01:59:12,5.769s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 01:59:12,2024-01-14 01:59:13,0.846s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 01:59:13,2024-01-14 01:59:13,0.475s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 01:59:13,2024-01-14 01:59:15,1.221s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 01:59:15,2024-01-14 01:59:16,1.434s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 01:59:16,2024-01-14 01:59:16,0.029s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 01:59:16,2024-01-14 01:59:16,0.118s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 01:59:16,2024-01-14 01:59:17,0.697s,FAILED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 01:59:17,2024-01-14 01:59:30,13.309s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 01:59:17,2024-01-14 01:59:20,2.788s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 01:59:20,2024-01-14 01:59:25,5.621s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 01:59:25,2024-01-14 01:59:26,0.826s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 01:59:26,2024-01-14 01:59:27,0.431s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 01:59:27,2024-01-14 01:59:28,1.539s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 01:59:28,2024-01-14 01:59:29,1.189s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 01:59:29,2024-01-14 01:59:29,0.011s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 01:59:29,2024-01-14 01:59:29,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 01:59:29,2024-01-14 01:59:30,0.875s,FAILED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 01:59:30,2024-01-14 01:59:54,23.500s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 01:59:30,2024-01-14 01:59:33,2.404s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 01:59:33,2024-01-14 01:59:37,4.337s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 01:59:37,2024-01-14 01:59:38,0.974s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 01:59:38,2024-01-14 01:59:39,1.006s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 01:59:39,2024-01-14 01:59:41,1.614s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 01:59:41,2024-01-14 01:59:42,1.131s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 01:59:42,2024-01-14 01:59:42,0.015s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 01:59:42,2024-01-14 01:59:42,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 01:59:42,2024-01-14 01:59:53,11.312s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 01:59:53,2024-01-14 01:59:54,0.688s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 01:59:54,2024-01-14 02:00:05,11.077s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 01:59:54,2024-01-14 01:59:55,1.703s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 01:59:55,2024-01-14 02:00:00,4.919s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:00:00,2024-01-14 02:00:01,0.752s,PASSED
